310:N(746),HP(1491),HM(2236),HA(2727),LM(2981),LA(5402),LP(280121)
311:N(1737),HP(7793),HM(9529),HA(9671),LP(12487),LM(13812),LA(14542)
312:N(1722),HP(7771),HM(9492),HA(9578),LP(13553),LA(13970),LM(14461)
313:N(1422),HP(6367),HA(7761),HM(7788),LP(11093),LM(12141),LA(12702)
314:N(1962),HP(9085),HA(10994),HM(11046),LP(15153),LM(17041),LA(17682)
315:N(883),HP(3816),HA(4674),HM(4698),LA(6017),LP(6347),LM(7560)
316:N(1969),HP(3937),HM(5906),HA(7240),LM(8039),LA(17121),LP(1943401)
317:N(15),HP(44),HA(57),HM(58),LP(61),LA(73),LM(78)
318:N(1575),HP(7050),HM(8624),HA(8745),LP(13315),LA(13380),LM(13874)
319:N(617),HP(2565),HM(3181),HA(3191),LP(4410),LA(4587),LM(4878)
320:N(240),HP(937),HA(1158),HM(1176),LP(1357),LM(1390),LA(1695)
321:N(1204),HP(5348),HM(6551),HA(6572),LP(8906),LM(9576),LA(10022)
322:N(1537),HP(6835),HM(8371),HA(8379),LM(12027),LP(13003),LA(14315)
323:N(1696),HP(7577),HM(9272),HA(9422),LP(12999),LA(13716),LM(15319)
